product_category_name,product_category_name_english
beleza_saude,health_beauty
informatica_acessorios,computers_accessories
automotivo,auto
cama_mesa_banho,bed_bath_table
moveis_decoracao,furniture_decor
esporte_lazer,sports_leisure
perfumaria,perfumery
utilidades_domesticas,housewares
telefonia,telephony
relogios_presentes,watches_gifts
bebes,baby
papelaria,stationery
brinquedos,toys
ferramentas_jardim,garden_tools
fashion_bolsas_e_acessorios,fashion_bags_accessories
eletroportateis,small_appliances
consoles_games,consoles_games
audio,audio
fashion_calcados,fashion_shoes
cool_stuff,cool_stuff
malas_acessorios,luggage_accessories
climatizacao,air_conditioning
construcao_ferramentas_jardim,costruction_tools_garden
pet_shop,pet_shop
moveis_escritorio,office_furniture
eletronicos,electronics
eletrodomesticos,home_appliances
casa_conforto,home_confort
casa_construcao,home_construction
instrumentos_musicais,musical_instruments
moveis_sala,furniture_living_room
construcao_ferramentas_iluminacao,construction_tools_lights
industria_comercio_e_negocios,industry_commerce_and_business
alimentos,food
moveis_quarto,furniture_bedroom
livros_interesse_geral,books_general_interest
fashion_underwear_e_moda_praia,fashion_underwear_beach
eletrodomesticos_2,home_appliances_2
musica,music
